,car/driveMode/2,media/selectedSource/Radio,navi/Start/Favorite,phone/Start/AndroidAuto,media/selectedSource/Bluetooth,car/driveMode/3,phone/Connect/NewDevice,media/selectedSource/CarPlay,car/driveMode/3.0,phone/Call/PersonX,car/charismaLevel/Abgesenkt,clima/AC/ECO,car/ESS/on,phone/Call/Favorite,car/charismaLevel/Lift,car/charismaLevel/Tief,navi/Start/Address,clima/AC/on,car/Start/ParkAssistant,car/driveMode/0,car/driveMode/2.0,car/driveMode/0.0,media/selectedSource/Favorite,car/driveMode/1.0,car/charismaLevel/Mittel,phone/Start/CarPlay,phone/goTo/Favorite,clima/AC/off
car/driveMode/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
media/selectedSource/Radio,0,1118,7,0,14,0,1,1,21,0,0,0,0,0,0,1,6,0,0,0,0,18,7,0,0,2,49,0
navi/Start/Favorite,0,14,373,0,3,0,0,0,7,0,0,0,0,0,0,0,20,0,0,0,0,3,1,0,0,2,13,0
phone/Start/AndroidAuto,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
media/selectedSource/Bluetooth,0,4,2,0,152,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
car/driveMode/3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
phone/Connect/NewDevice,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
media/selectedSource/CarPlay,0,12,2,0,0,0,0,109,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0
car/driveMode/3.0,0,5,1,0,3,0,0,0,545,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
phone/Call/PersonX,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
car/charismaLevel/Abgesenkt,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clima/AC/ECO,0,4,0,0,0,0,0,0,2,0,0,18,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0
car/ESS/on,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
phone/Call/Favorite,0,2,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,6,0
car/charismaLevel/Lift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0
car/charismaLevel/Tief,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,0
navi/Start/Address,0,13,23,0,1,0,0,0,4,0,0,0,0,0,0,0,404,0,0,0,0,14,0,0,0,0,7,0
clima/AC/on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
car/Start/ParkAssistant,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
car/driveMode/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
car/driveMode/2.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0
car/driveMode/0.0,0,5,1,0,3,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,659,0,0,0,0,2,0
media/selectedSource/Favorite,0,10,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,121,0,0,0,3,0
car/driveMode/1.0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,0
car/charismaLevel/Mittel,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
phone/Start/CarPlay,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0
phone/goTo/Favorite,0,41,3,0,6,0,0,0,25,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,342,0
clima/AC/off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,20
